kategori,sub_kategori,total_popularity,avg_popularity,total_terjual,avg_rating,jumlah_produk,median_harga
Aksesoris & Souvenir,Aksesoris & Souvenir,563.9855,22.55942,4438,4.884,25,25000.0
Makanan,Camilan & Snack,3402.9285,22.992760135135136,34892,4.79054054054054,148,29990.0
Makanan,Kue & Roti,4205.6805,22.13516052631579,40852,4.82,190,47000.0
Makanan,Lauk & Bahan Makanan,1224.4766,22.26321090909091,11784,4.8545454545454545,55,28645.0
Makanan,Makanan Tradisional,604.3566,26.276373913043475,8753,4.860869565217392,23,35000.0
Minuman,Kopi,3450.6461,24.130392307692308,37587,4.8776223776223775,143,42000.0
Minuman,Minuman Tradisional,544.7629,23.68534347826087,4979,4.960869565217392,23,22499.0
Minuman,Teh,67.2302,13.44604,86,4.9,5,25000.0
Pakaian & Fashion,Atasan & Pakaian Kasual,4466.5783,12.51142380952381,7674,4.9450980392156865,357,52900.0
Pakaian & Fashion,Pakaian Tradisional,691.851,11.92846551724138,1519,4.967241379310345,58,111076.0
