url_produk,nama_produk,kategori,sub_kategori,harga_produk,jumlah_terjual,rating,nama_toko,marketplace,label,nama_produk_clean
https://www.tokopedia.com/padifoodie/renginang-khas-bogor-rasa-bawang-terasi-dan-ketan-item-khas-bogor-cita-rasa-unik-dan-otentik-1734112185295079133?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Renginang Khas Bogor Rasa Bawang Terasi dan Ketan Item Khas Bogor Cita Rasa Unik dan Otentik,Makanan,Lauk & Bahan Makanan,24000,4,0.0,Padifoodie,tokopedia,0,renginang khas bogor bawang terasi ketan item khas bogor cita unik otentik
https://www.tokopedia.com/aa-shop90/kopi-cap-teko-tanpa-gula-khas-bogor-15sachet-1731961892047652317?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Cap Teko Tanpa Gula  Khas Bogor 15sachet,Minuman,Kopi,19250,250,4.9,AA-shop90,tokopedia,1,kopi cap teko gula khas bogor sachet
https://www.tokopedia.com/noga-sari/500-gr-noga-teng-teng-kacang-khas-bogor-caramel-dan-kacang-1730902708557612763?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,"500 gr - NOGA TENG-TENG KACANG KHAS BOGOR, Caramel dan Kacang",Makanan,Camilan & Snack,33500,30,4.5,Noga Sari,tokopedia,1,noga teng teng kacang khas bogor caramel kacang
https://www.tokopedia.com/arsyfaqia/manisan-kelapa-kering-khas-bogor-1729980593596434812?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,manisan kelapa kering khas Bogor,Makanan,Camilan & Snack,35000,30,0.0,ArsyfaQia,tokopedia,1,manis kelapa kering khas bogor
https://www.tokopedia.com/djadjasnack/enting-enting-kacang-khas-bogor-awet-2-3-bulan-200gr-1kg-1733891167834244721?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Enting-Enting Kacang khas bogor Awet 2-3 Bulan 200gr-1kg,Makanan,Camilan & Snack,13400,40,3.0,DJADJASNACK,tokopedia,1,enting enting kacang khas bogor awet
https://www.tokopedia.com/florantara-tok/kopi-khas-bogor-kopi-cap-teko?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kopi khas Bogor kopi cap teko,Minuman,Kopi,1500,100,5.0,floranta,tokopedia,1,kopi khas bogor kopi cap teko
https://www.tokopedia.com/kopihas/kopi-khas-bogor-kopi-cap-teko?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kopi khas bogor kopi cap teko,Minuman,Kopi,28000,7,5.0,pro spareparts,tokopedia,0,kopi khas bogor kopi cap teko
https://www.tokopedia.com/dzolshop2/roti-unyil-venuss-oleh-oleh-khas-bogor-isi-10-pcs?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Roti Unyil Venuss oleh-oleh khas Bogor Isi 10 pcs,Makanan,Kue & Roti,30000,60,5.0,Syaqila az,tokopedia,1,roti unyil venuss khas bogor isi
https://www.tokopedia.com/pialestari/pia-lestari-oleh-oleh-khas-bogor-1731296007485032319?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Pia Lestari Oleh-Oleh Khas Bogor,Makanan,Kue & Roti,46500,750,5.0,Pia Lestari,tokopedia,1,pia lestari khas bogor
https://www.tokopedia.com/doa-restu-snacks/rangginang-oleh-oleh-khas-bogor-isi-30-keping-dores-snacks-cemilan-kering-1730071427263399866?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rangginang Oleh-oleh Khas Bogor Isi 30 Keping - DORES Snacks Cemilan Kering,Makanan,Camilan & Snack,24900,10,4.8,Doa Restu Snacks,tokopedia,0,rangginang khas bogor isi keping dores snacks cemilan kering
